occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
        Gambling managers,11-9071,5.1,5.2,0.1,1.2,85580.0,High school diploma or equivalent,0.6,0.091,Gaming managers,Low,11,Management,1.0,0.2821217674608023,0.16666666666666666,0.22439421706373447,False,Growing,0.32,0.33
      Lodging managers,11-9081,52.0,53.8,1.8,3.4,68130.0,High school diploma or equivalent,5.4,0.0039,Lodging managers,Low,11,Management,1.0,0.19329057218489107,0.16666666666666666,0.17997861942577886,False,Growing,0.37,0.4
      Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,117960.0,Bachelor's degree,62.1,0.0073,Medical and health services managers,Low,11,Management,4.0,0.44695581347994295,0.6666666666666666,0.5568112400733047,False,Growing,0.35,0.28500000000000003
      Natural sciences managers,11-9121,104.3,108.2,3.9,3.7,161180.0,Bachelor's degree,8.5,0.018,Natural sciences managers,Low,11,Management,4.0,0.6669721034412543,0.6666666666666666,0.6668193850539605,False,Growing,0.4,0.24
      Postmasters and mail superintendents,11-9131,13.1,12.7,-0.5,-3.5,92730.0,High school diploma or equivalent,0.9,0.75,Postmasters and mail superintendents,High,11,Management,1.0,0.3185196497658318,0.16666666666666666,0.24259315821624922,False,Declining,0.42,0.33
"      Property, real estate, and community association managers",11-9141,466.1,483.1,17.0,3.6,66700.0,High school diploma or equivalent,39.0,0.81,"Property, real estate, and community association managers",High,11,Management,1.0,0.18601099572388516,0.16666666666666666,0.1763388311952759,False,Growing,0.35,0.38
      Social and community service managers,11-9151,219.8,233.9,14.1,6.4,78240.0,Bachelor's degree,18.6,0.0067,Social and community service managers,Low,11,Management,4.0,0.24475666870291182,0.6666666666666666,0.4557116676847892,False,Growing,0.37,0.32
      Emergency management directors,11-9161,13.2,13.6,0.4,3.0,86130.0,Bachelor's degree,1.0,0.003,Emergency management directors,Low,11,Management,4.0,0.2849216045611892,0.6666666666666666,0.4757941356139279,False,Growing,0.38,0.32
"      Managers, all other",11-9199,1333.7,1393.5,59.8,4.5,136550.0,Bachelor's degree,106.7,0.25,"Managers, all other",Low,11,Management,4.0,0.5415903074730197,0.6666666666666666,0.6041284870698431,False,Growing,0.3666666666666667,0.3116666666666667
"      Agents and business managers of artists, performers, and athletes",13-1011,21.4,23.2,1.9,8.7,96310.0,Bachelor's degree,2.2,0.24,"Agents and business managers of artists, performers, and athletes",Low,13,Business & Financial,4.0,0.3367440439828956,0.6666666666666666,0.5017053553247811,False,Growing,0.44,0.52
"        Claims adjusters, examiners, and investigators",13-1031,356.1,337.9,-18.2,-5.1,76790.0,High school diploma or equivalent,21.1,0.98,"Claims adjusters, examiners, and investigators",High,13,Business & Financial,1.0,0.23737527998371002,0.16666666666666666,0.20202097332518834,False,Declining,0.45,0.39
"        Insurance appraisers, auto damage",13-1032,9.2,8.4,-0.8,-8.2,76650.0,Postsecondary nondegree award,0.5,0.98,"Insurance appraisers, auto damage",High,13,Business & Financial,,0.2366625941763388,0.16666666666666666,0.20166463042150273,False,Declining,0.45,0.39
      Compliance officers,13-1041,418.0,430.3,12.3,3.0,78420.0,Bachelor's degree,33.3,0.08,Compliance officers,Low,13,Business & Financial,4.0,0.24567297902667481,0.6666666666666666,0.45616982284667074,False,Growing,0.39999999999999997,0.48
      Cost estimators,13-1051,221.4,212.1,-9.3,-4.2,77070.0,Bachelor's degree,16.9,0.57,Cost estimators,Medium,13,Business & Financial,4.0,0.23880065159845246,0.6666666666666666,0.45273365913255953,False,Declining,0.44,0.52
        Farm labor contractors,13-1074,3.9,4.2,0.2,6.0,48690.0,No formal educational credential,0.3,0.97,Farm labour contractors,High,13,Business & Financial,0.0,0.09432905721848911,0.0,0.047164528609244555,True,Growing,0.39,0.45
        Logisticians,13-1081,241.0,281.3,40.3,16.7,80880.0,Bachelor's degree,26.4,0.012,Logisticians,Low,13,Business & Financial,4.0,0.2581958867847689,0.6666666666666666,0.46243127672571777,False,Growing,0.46,0.43
      Management analysts,13-1111,1075.1,1169.7,94.5,8.8,101190.0,Bachelor's degree,98.1,0.13,Management analysts,Low,13,Business & Financial,4.0,0.36158623498269193,0.6666666666666666,0.5141264508246792,False,Growing,0.46,0.43
"      Meeting, convention, and event planners",13-1121,155.8,163.3,7.5,4.8,59440.0,Bachelor's degree,15.5,0.037,"Meeting, convention, and event planners",Low,13,Business & Financial,4.0,0.14905314599877825,0.6666666666666666,0.40785990633272245,False,Growing,0.48,0.51
"      Compensation, benefits, and job analysis specialists",13-1141,107.0,112.7,5.6,5.3,77020.0,Bachelor's degree,8.5,0.47,"Compensation, benefits, and job analysis specialists",Medium,13,Business & Financial,4.0,0.2385461209529627,0.6666666666666666,0.45260639380981466,False,Growing,0.45,0.43
      Training and development specialists,13-1151,452.3,501.0,48.7,10.8,65850.0,Bachelor's degree,43.9,0.014,Training and development specialists,Low,13,Business & Financial,4.0,0.18168397475055995,0.6666666666666666,0.4241753207086133,False,Growing,0.43999999999999995,0.495
      Market research analysts and marketing specialists,13-1161,941.7,1004.7,63.0,6.7,76950.0,Bachelor's degree,87.2,0.61,Market research analysts and marketing specialists,Medium,13,Business & Financial,4.0,0.23818977804927713,0.6666666666666666,0.45242822235797187,False,Growing,0.55,0.51
"      Business operations specialists, all other",13-1199,1205.7,1242.0,36.3,3.0,81270.0,Bachelor's degree,108.2,0.23,"Business operations specialists, all other",Low,13,Business & Financial,4.0,0.2601812258195887,0.6666666666666666,0.46342394624312766,False,Growing,0.43,0.485
      Accountants and auditors,13-2011,1579.8,1652.6,72.8,4.6,81680.0,Bachelor's degree,124.2,0.94,Accountants and auditors,High,13,Business & Financial,4.0,0.2622683771126043,0.6666666666666666,0.46446752188963547,False,Growing,0.51,0.52
      Budget analysts,13-2031,50.4,51.0,0.5,1.0,87930.0,Bachelor's degree,3.1,0.94,Budget analysts,High,13,Business & Financial,4.0,0.294084707798819,0.6666666666666666,0.4803756872327428,False,Growing,0.51,0.52
      Credit analysts,13-2041,67.8,64.8,-3.0,-4.4,80970.0,Bachelor's degree,3.7,0.98,Credit analysts,High,13,Business & Financial,4.0,0.2586540419466504,0.6666666666666666,0.46266035430665853,False,Declining,0.62,0.59
        Financial and investment analysts,13-2051,368.5,389.6,21.1,5.7,101350.0,Bachelor's degree,25.1,0.23,Financial analysts,Low,13,Business & Financial,4.0,0.36240073304825904,0.6666666666666666,0.5145336998574628,False,Growing,0.595,0.52
        Personal financial advisors,13-2052,326.0,357.2,31.2,9.6,102140.0,Bachelor's degree,24.1,0.58,Personal financial advisors,Medium,13,Business & Financial,4.0,0.3664223172469966,0.6666666666666666,0.5165444919568316,False,Growing,0.57,0.45
        Insurance underwriters,13-2053,127.0,123.7,-3.3,-2.6,79880.0,Bachelor's degree,8.2,0.99,Insurance underwriters,High,13,Business & Financial,4.0,0.2531052738749745,0.6666666666666666,0.45988597027082057,False,Declining,0.53,0.46
      Financial examiners,13-2061,65.1,77.2,12.1,18.5,90400.0,Bachelor's degree,5.7,0.17,Financial examiners,Low,13,Business & Financial,4.0,0.30665852168601104,0.6666666666666666,0.48666259417633884,False,Growing,0.62,0.59
        Credit counselors,13-2071,31.8,32.9,1.1,3.3,50480.0,Bachelor's degree,2.2,0.04,Credit counselors,Low,13,Business & Financial,4.0,0.10344125432702098,0.6666666666666666,0.3850539604968438,False,Growing,0.6,0.57
        Loan officers,13-2072,301.4,306.5,5.0,1.7,74180.0,Bachelor's degree,20.3,0.98,Loan officers,High,13,Business & Financial,4.0,0.22408878028914683,0.6666666666666666,0.4453777234779067,False,Growing,0.6,0.57
"        Tax examiners and collectors, and revenue agents",13-2081,57.6,56.5,-1.0,-1.8,59740.0,Bachelor's degree,4.3,0.93,"Tax examiners and collectors, and revenue agents",High,13,Business & Financial,4.0,0.15058032987171657,0.6666666666666666,0.4086234982691916,False,Declining,0.49,0.46
        Tax preparers,13-2082,90.6,94.7,4.1,4.5,50560.0,High school diploma or equivalent,10.4,0.99,Tax preparers,High,13,Business & Financial,1.0,0.10384850335980453,0.16666666666666666,0.1352575850132356,False,Growing,0.51,0.52
"      Financial specialists, all other",13-2099,137.1,141.4,4.3,3.1,80190.0,Bachelor's degree,10.3,0.33,"Financial specialists, all other",Medium,13,Business & Financial,4.0,0.25468336387701074,0.6666666666666666,0.4606750152718387,False,Growing,0.44,0.52
      Actuaries,15-2011,33.6,40.9,7.3,21.8,125770.0,Bachelor's degree,2.4,0.21,Actuaries,Low,15,Computer & Math,4.0,0.4867135003054368,0.6666666666666666,0.5766900834860518,False,Growing,0.56,0.5
      Mathematicians,15-2021,2.4,2.4,0.0,-0.7,121680.0,Master's degree,0.1,0.047,Mathematicians,Low,15,Computer & Math,5.0,0.4658928935043779,0.8333333333333333,0.6496131134188556,False,Declining,0.56,0.5
      Operations research analysts,15-2031,112.1,136.2,24.1,21.5,91290.0,Bachelor's degree,9.6,0.035,Operations research analysts,Low,15,Computer & Math,4.0,0.311189167175728,0.6666666666666666,0.4889279169211973,False,Growing,0.56,0.5
      Statisticians,15-2041,32.2,34.9,2.7,8.5,103300.0,Master's degree,2.0,0.22,Statisticians,Low,15,Computer & Math,5.0,0.372327428222358,0.8333333333333333,0.6028303807778457,False,Growing,0.56,0.5
"        Architects, except landscape and naval",17-1011,123.6,128.4,4.8,3.9,96690.0,Bachelor's degree,7.8,0.018,"Architects, except landscape and naval",Low,17,Architecture & Engineering,4.0,0.3386784768886174,0.6666666666666666,0.502672571777642,False,Growing,0.37,0.39
        Landscape architects,17-1012,21.8,22.6,0.8,3.5,79660.0,Bachelor's degree,1.7,0.045,Landscape architects,Low,17,Architecture & Engineering,4.0,0.2519853390348198,0.6666666666666666,0.4593260028507432,False,Growing,0.37,0.38
        Cartographers and photogrammetrists,17-1021,13.4,14.3,0.9,6.4,78380.0,Bachelor's degree,1.0,0.88,Cartographers and photogrammetrists,High,17,Architecture & Engineering,4.0,0.24546935451028304,0.6666666666666666,0.45606801058847485,False,Growing,0.44,0.38
        Surveyors,17-1022,56.1,58.6,2.5,4.4,72740.0,Bachelor's degree,3.9,0.38,Surveyors,Medium,17,Architecture & Engineering,4.0,0.21675829769904295,0.6666666666666666,0.4417124821828548,False,Growing,0.44,0.38
      Aerospace engineers,17-2011,71.6,75.9,4.4,6.1,134830.0,Bachelor's degree,4.5,0.017,Aerospace engineers,Low,17,Architecture & Engineering,4.0,0.5328344532681735,0.6666666666666666,0.59975055996742,False,Growing,0.32,0.31
      Agricultural engineers,17-2021,1.7,1.8,0.1,5.9,84630.0,Bachelor's degree,0.1,0.49,Agricultural engineers,Medium,17,Architecture & Engineering,4.0,0.27728568519649766,0.6666666666666666,0.47197617593158214,False,Growing,0.32,0.31
      Bioengineers and biomedical engineers,17-2031,22.2,23.3,1.1,5.2,106950.0,Bachelor's degree,1.3,0.037,Biomedical engineers,Low,17,Architecture & Engineering,4.0,0.39090816534310735,0.6666666666666666,0.528787416004887,False,Growing,0.3,0.22
      Chemical engineers,17-2041,21.6,22.1,0.6,2.6,121860.0,Bachelor's degree,1.1,0.017,Chemical engineers,Low,17,Architecture & Engineering,4.0,0.46680920382814095,0.6666666666666666,0.5667379352474038,False,Growing,0.35,0.31
      Civil engineers,17-2051,368.9,387.5,18.5,5.0,99590.0,Bachelor's degree,23.6,0.019,Civil engineers,Low,17,Architecture & Engineering,4.0,0.353441254327021,0.6666666666666666,0.5100539604968438,False,Growing,0.3,0.34
      Computer hardware engineers,17-2061,76.8,82.4,5.6,7.3,155020.0,Bachelor's degree,4.7,0.22,Computer hardware engineers,Low,17,Architecture & Engineering,4.0,0.6356139279169212,0.6666666666666666,0.6511402972917939,False,Growing,0.42,0.29
        Electrical engineers,17-2071,192.0,205.7,13.8,7.2,111910.0,Bachelor's degree,11.7,0.1,Electrical engineers,Low,17,Architecture & Engineering,4.0,0.41615760537568725,0.6666666666666666,0.541412136021177,False,Growing,0.31,0.33
"        Electronics engineers, except computer",17-2072,95.9,101.8,6.0,6.2,127590.0,Bachelor's degree,5.7,0.025,"Electronics engineers, except computer",Low,17,Architecture & Engineering,4.0,0.49597841580126245,0.6666666666666666,0.5813225412339645,False,Growing,0.44999999999999996,0.315
      Environmental engineers,17-2081,39.4,41.0,1.5,3.9,104170.0,Bachelor's degree,3.0,0.018,Environmental engineers,Low,17,Architecture & Engineering,4.0,0.3767562614538791,0.6666666666666666,0.5217114640602729,False,Growing,0.38,0.32
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.8,24.9,1.1,4.4,109660.0,Bachelor's degree,1.5,0.028,"Health and safety engineers, except mining safety engineers and inspectors",Low,17,Architecture & Engineering,4.0,0.40470372632865004,0.6666666666666666,0.5356851964976583,False,Growing,0.3,0.22
        Industrial engineers,17-2112,351.1,389.6,38.5,11.0,101140.0,Bachelor's degree,25.2,0.029,Industrial engineers,Low,17,Architecture & Engineering,4.0,0.3613317043372022,0.6666666666666666,0.5139991855019344,False,Growing,0.37,0.32
      Marine engineers and naval architects,17-2121,8.5,9.0,0.5,5.8,105670.0,Bachelor's degree,0.6,0.01,Marine engineers and naval architects,Low,17,Architecture & Engineering,4.0,0.38439218081857063,0.6666666666666666,0.5255294237426187,False,Growing,0.32,0.31
      Materials engineers,17-2131,23.0,24.3,1.3,5.7,108310.0,Bachelor's degree,1.5,0.021,Materials engineers,Low,17,Architecture & Engineering,4.0,0.3978313989004276,0.6666666666666666,0.5322490327835472,False,Growing,0.295,0.245
      Mechanical engineers,17-2141,293.1,319.6,26.5,9.1,102320.0,Bachelor's degree,18.1,0.011,Mechanical engineers,Low,17,Architecture & Engineering,4.0,0.3673386275707595,0.6666666666666666,0.517002647118713,False,Growing,0.32,0.31
"      Mining and geological engineers, including mining safety engineers",17-2151,7.0,7.0,0.0,0.7,101020.0,Bachelor's degree,0.4,0.14,"Mining and geological engineers, including mining safety engineers",Low,17,Architecture & Engineering,4.0,0.36072083078802686,0.6666666666666666,0.5136937487273467,False,Growing,0.29,0.27
      Nuclear engineers,17-2161,15.4,15.3,-0.2,-1.1,127520.0,Bachelor's degree,0.8,0.07,Nuclear engineers,Low,17,Architecture & Engineering,4.0,0.49562207289757687,0.6666666666666666,0.5811443697821217,False,Declining,0.3,0.22
      Petroleum engineers,17-2171,19.6,19.8,0.2,1.3,141280.0,Bachelor's degree,1.2,0.16,Petroleum engineers,Low,17,Architecture & Engineering,4.0,0.565668906536347,0.6666666666666666,0.6161677866015068,False,Growing,0.29,0.27
"      Engineers, all other",17-2199,158.8,162.1,3.3,2.1,117750.0,Bachelor's degree,9.3,0.014,"Engineers, all other",Low,17,Architecture & Engineering,4.0,0.4458867847688862,0.6666666666666666,0.5562767257177764,False,Growing,0.3,0.22
        Architectural and civil drafters,17-3011,110.5,115.1,4.6,4.1,64280.0,Associate's degree,10.0,0.52,Architectural and civil drafters,Medium,17,Architecture & Engineering,3.0,0.17369171248218288,0.5,0.3368458562410914,False,Growing,0.35,0.44
        Electrical and electronics drafters,17-3012,21.6,20.4,-1.2,-5.6,73720.0,Associate's degree,1.7,0.81,Electrical and electronics drafters,High,17,Architecture & Engineering,3.0,0.2217470983506414,0.5,0.3608735491753207,False,Declining,0.35,0.44
        Mechanical drafters,17-3013,42.9,40.1,-2.8,-6.5,68510.0,Associate's degree,3.3,0.68,Mechanical drafters,Medium,17,Architecture & Engineering,3.0,0.19522500509061289,0.5,0.34761250254530646,False,Declining,0.35,0.44
        Aerospace engineering and operations technologists and technicians,17-3021,9.3,10.1,0.8,8.1,79830.0,Associate's degree,0.9,0.48,Aerospace engineering and operations technicians,Medium,17,Architecture & Engineering,3.0,0.25285074322948486,0.5,0.37642537161474243,False,Growing,0.26,0.34
        Civil engineering technologists and technicians,17-3022,64.9,66.2,1.4,2.1,64200.0,Associate's degree,5.5,0.75,Civil engineering technicians,High,17,Architecture & Engineering,3.0,0.17328446344939932,0.5,0.33664223172469965,False,Growing,0.28,0.31
        Electrical and electronic engineering technologists and technicians,17-3023,93.7,94.3,0.6,0.6,77180.0,Associate's degree,8.4,0.84,Electrical and electronics engineering technicians,High,17,Architecture & Engineering,3.0,0.2393606190185298,0.5,0.3696803095092649,False,Growing,0.36,0.3075
        Electro-mechanical and mechatronics technologists and technicians,17-3024,15.0,15.1,0.2,1.1,70760.0,Associate's degree,1.3,0.81,Electro-mechanical technicians,High,17,Architecture & Engineering,3.0,0.20667888413765015,0.5,0.35333944206882506,False,Growing,0.265,0.30500000000000005
        Environmental engineering technologists and technicians,17-3025,12.9,13.0,0.1,1.2,58890.0,Associate's degree,1.1,0.25,Environmental engineering technicians,Low,17,Architecture & Engineering,3.0,0.14625330889839136,0.5,0.3231266544491957,False,Growing,0.26,0.42
        Industrial engineering technologists and technicians,17-3026,74.6,75.9,1.3,1.7,64790.0,Associate's degree,6.3,0.03,Industrial engineering technicians,Low,17,Architecture & Engineering,3.0,0.176287925066178,0.5,0.338143962533089,False,Growing,0.26,0.42
        Mechanical engineering technologists and technicians,17-3027,38.3,38.3,0.0,0.0,68730.0,Associate's degree,3.2,0.38,Mechanical engineering technicians,Medium,17,Architecture & Engineering,3.0,0.19634493993076765,0.5,0.3481724699653838,False,Stable,0.26,0.34
"        Engineering technologists and technicians, except drafters, all other",17-3029,67.3,68.3,1.0,1.5,77390.0,Associate's degree,5.7,0.24,"Engineering technicians, except drafters, all other",Low,17,Architecture & Engineering,3.0,0.24042964772958667,0.5,0.3702148238647933,False,Growing,0.28,0.355
      Surveying and mapping technicians,17-3031,59.4,62.1,2.7,4.5,51940.0,High school diploma or equivalent,7.6,0.96,Surveying and mapping technicians,High,17,Architecture & Engineering,1.0,0.11087354917532069,0.16666666666666666,0.13877010792099367,False,Growing,0.28,0.31
        Animal scientists,19-1011,2.8,2.9,0.2,5.8,79120.0,Bachelor's degree,0.2,0.061,Animal scientists,Low,19,Life & Social Science,4.0,0.24923640806353084,0.6666666666666666,0.45795153736509875,False,Growing,0.4,0.35
        Food scientists and technologists,19-1012,15.2,16.2,1.0,6.5,85310.0,Bachelor's degree,1.2,0.077,Food scientists and technologists,Low,19,Life & Social Science,4.0,0.28074730197515785,0.6666666666666666,0.47370698432091224,False,Growing,0.4,0.35
        Soil and plant scientists,19-1013,20.7,21.8,1.1,5.4,71410.0,Bachelor's degree,1.7,0.021,Soil and plant scientists,Low,19,Life & Social Science,4.0,0.20998778252901648,0.6666666666666666,0.43832722459784157,False,Growing,0.345,0.32499999999999996
        Biochemists and biophysicists,19-1021,35.6,37.6,2.1,5.8,103650.0,Doctoral or professional degree,2.9,0.027,Biochemists and biophysicists,Low,19,Life & Social Science,6.0,0.374109142740786,1.0,0.687054571370393,False,Growing,0.4,0.35
        Microbiologists,19-1022,20.7,21.6,0.8,4.1,87330.0,Bachelor's degree,1.7,0.012,Microbiologists,Low,19,Life & Social Science,4.0,0.29103034005294237,0.6666666666666666,0.4788485033598045,False,Growing,0.4,0.35
        Zoologists and wildlife biologists,19-1023,18.2,18.5,0.3,1.6,72860.0,Bachelor's degree,1.4,0.3,Zoologists and wildlife biologists,Medium,19,Life & Social Science,4.0,0.21736917124821828,0.6666666666666666,0.44201791895744247,False,Growing,0.4,0.35
"        Biological scientists, all other",19-1029,63.7,64.5,0.8,1.2,93330.0,Bachelor's degree,4.8,0.015,"Biological scientists, all other",Low,19,Life & Social Science,4.0,0.32157401751170844,0.6666666666666666,0.49412034208918754,False,Growing,0.4,0.35
        Conservation scientists,19-1031,28.5,29.5,1.0,3.4,67950.0,Bachelor's degree,2.5,0.016,Conservation scientists,Low,19,Life & Social Science,4.0,0.19237426186112808,0.6666666666666666,0.42952046426389734,False,Growing,0.38,0.36
        Foresters,19-1032,13.8,14.0,0.2,1.2,70660.0,Bachelor's degree,1.1,0.0081,Foresters,Low,19,Life & Social Science,4.0,0.20616982284667076,0.6666666666666666,0.4364182447566687,False,Growing,0.29,0.3
        Epidemiologists,19-1041,12.3,14.3,2.0,16.2,83980.0,Master's degree,0.8,0.2,Epidemiologists,Low,19,Life & Social Science,5.0,0.2739767868051314,0.8333333333333333,0.5536550600692323,False,Growing,0.4,0.35
"        Medical scientists, except epidemiologists",19-1042,165.3,179.6,14.3,8.7,100590.0,Doctoral or professional degree,9.6,0.0045,"Medical scientists, except epidemiologists",Low,19,Life & Social Science,6.0,0.3585318672368153,1.0,0.6792659336184077,False,Growing,0.4,0.35
        Astronomers,19-2011,1.8,1.8,0.0,2.2,132170.0,Doctoral or professional degree,0.1,0.041,Astronomers,Low,19,Life & Social Science,6.0,0.5192934229281205,1.0,0.7596467114640603,False,Growing,0.38,0.35
        Physicists,19-2012,24.6,25.6,1.0,4.0,166290.0,Doctoral or professional degree,1.7,0.1,Physicists,Low,19,Life & Social Science,6.0,0.6929851354103034,1.0,0.8464925677051517,False,Growing,0.38,0.35
      Atmospheric and space scientists,19-2021,9.4,9.5,0.1,0.7,97450.0,Bachelor's degree,0.7,0.67,Atmospheric and space scientists,Medium,19,Life & Social Science,4.0,0.34254734270006104,0.6666666666666666,0.5046070046833638,False,Growing,0.54,0.44
        Chemists,19-2031,86.8,91.0,4.3,4.9,84150.0,Bachelor's degree,6.3,0.1,Chemists,Low,19,Life & Social Science,4.0,0.27484219099979634,0.6666666666666666,0.4707544288332315,False,Growing,0.39,0.32
        Materials scientists,19-2032,8.7,9.1,0.4,4.9,104160.0,Bachelor's degree,0.6,0.021,Materials scientists,Low,19,Life & Social Science,4.0,0.3767053553247811,0.6666666666666666,0.5216860109957239,False,Growing,0.33999999999999997,0.29500000000000004
"        Environmental scientists and specialists, including health",19-2041,90.3,94.3,4.0,4.4,80060.0,Bachelor's degree,8.5,0.033,"Environmental scientists and specialists, including health",Low,19,Life & Social Science,4.0,0.25402158419873755,0.6666666666666666,0.4603441254327021,False,Growing,0.38,0.36
"        Geoscientists, except hydrologists and geographers",19-2042,25.1,26.0,0.8,3.2,99240.0,Bachelor's degree,2.0,0.63,"Geoscientists, except hydrologists and geographers",Medium,19,Life & Social Science,4.0,0.351659539808593,0.6666666666666666,0.5091631032376298,False,Growing,0.36,0.32
        Hydrologists,19-2043,6.3,6.3,0.0,-0.1,92060.0,Bachelor's degree,0.5,0.014,Hydrologists,Low,19,Life & Social Science,4.0,0.3151089391162696,0.6666666666666666,0.4908878028914681,False,Declining,0.36,0.32
"      Physical scientists, all other",19-2099,31.9,32.1,0.2,0.6,117960.0,Bachelor's degree,2.0,0.43,"Physical scientists, all other",Medium,19,Life & Social Science,4.0,0.44695581347994295,0.6666666666666666,0.5568112400733047,False,Growing,,
